productid;businessentityid;averageleadtime;standardprice;lastreceiptcost;lastreceiptdate;minorderqty;maxorderqty;onorderqty;unitmeasurecode;modifieddate 
679;1544;15;5,5;5,775;20/08/2011;100;1000;300;EA ;20/08/2011
679;1694;15;5,9;6,195;26/08/2011;100;1000;300;EA ;26/08/2011
707;1520;30;13,25;13,0863;13/03/2014;4;200;25;EA ;12/08/2015
708;1520;30;13,25;13,0863;22/09/2014;4;200;25;EA ;12/08/2015
709;1574;12;3,1;3,4;22/10/2014;100;500;150;EA ;12/08/2015
710;1574;12;3,12;3,4;22/10/2014;100;500;150;EA ;12/08/2015
711;1520;45;13,88;13,08;02/07/2014;50;750;300;EA ;12/08/2015
712;1636;45;6,55;6,92;13/06/2014;100;1000;630;EA ;12/08/2015
713;1636;45;37,45;38,49;03/12/2013;100;1000;600;EA ;12/08/2015
714;1636;45;37,8;38,49;03/12/2013;100;1000;350;EA ;12/08/2015
715;1636;45;37,8;38,49;03/12/2013;100;1000;100;EA ;12/08/2015
716;1636;45;38,05;38,75;03/12/2013;100;1000;750;EA ;12/08/2015
841;1636;60;26,75;24,75;26/02/2014;75;500;300;EA ;12/08/2015
842;1518;120;54,2;51,56;17/02/2014;100;600;225;EA ;12/08/2015
843;1518;10;8,5;10,31;11/01/2014;50;200;75;EA ;12/08/2015
844;1518;25;8,5;8,25;11/01/2014;150;500;300;EA ;12/08/2015
845;1518;25;10,75;10,3;11/01/2014;150;500;250;EA ;12/08/2015
846;1518;30;4,5;5,77;11/01/2014;150;500;175;EA ;12/08/2015
847;1518;30;14,5;4,43;11/01/2014;150;500;150;EA ;12/08/2015
848;1518;45;15,75;18,56;11/01/2014;50;300;150;EA ;12/08/2015
849;1594;45;24,75;24,75;31/03/2014;5000;10000;5000;EA ;12/08/2015
850;1594;45;24,75;24,75;31/03/2014;5000;10000;5000;EA ;12/08/2015
851;1594;45;24,75;24,75;31/03/2014;5000;10000;5000;EA ;12/08/2015
852;1594;60;32,35;30,94;14/05/2014;500;8000;750;EA ;12/08/2015
853;1594;60;32,35;30,94;14/05/2014;500;8000;750;EA ;12/08/2015
854;1594;60;32,35;30,94;14/05/2014;500;8000;750;EA ;12/08/2015
855;1594;60;38,5;37,1;14/05/2014;500;5000;1050;EA ;12/08/2015
856;1594;60;37,5;37,1;14/05/2014;500;5000;1000;EA ;12/08/2015
857;1594;60;37,5;37,1;14/05/2014;500;5000;1000;EA ;12/08/2015
858;1676;15;8,75;9,15;22/05/2014;500;5000;700;EA ;12/08/2015
859;1676;15;8,75;9,15;22/05/2014;500;5000;700;EA ;12/08/2015
860;1676;15;8,75;9,15;22/05/2014;500;5000;700;EA ;12/08/2015
861;1676;25;15,5;15,67;22/05/2014;500;5000;900;EA ;12/08/2015
862;1676;25;15,5;15,67;22/05/2014;500;5000;900;EA ;12/08/2015
863;1676;25;15,5;15,67;22/05/2014;500;5000;900;EA ;12/08/2015
864;1676;35;23,2;23,75;22/05/2014;1000;7500;1250;EA ;12/08/2015
865;1676;35;23,2;23,75;22/05/2014;1000;7500;1250;EA ;12/08/2015
866;1676;35;23,2;23,75;22/05/2014;1000;7500;1250;EA ;12/08/2015
867;1676;25;25,45;26,18;22/05/2014;1000;7500;2000;EA ;12/08/2015
868;1676;25;25,45;26,18;22/05/2014;1000;7500;2000;EA ;12/08/2015
869;1676;25;25,45;26,18;22/05/2014;1000;7500;2000;EA ;12/08/2015
870;1546;45;1,87;1,87;09/12/2013;500;2500;1500;EA ;12/08/2015
871;1546;45;3,74;3,74;09/12/2013;500;2500;500;EA ;12/08/2015
872;1546;45;3;3,36;09/12/2013;500;2500;1000;EA ;12/08/2015
873;1546;45;0,8;0,86;09/12/2013;1500;15000;8000;EA ;12/08/2015
874;1574;25;3;2,36;09/12/2013;1500;15000;8000;EA ;12/08/2015
875;1574;25;3;2,36;09/12/2013;1500;15000;8000;EA ;12/08/2015
876;1546;45;48;33,88;24/07/2014;100;500;250;EA ;12/08/2015
877;1546;45;3;2,97;24/07/2014;100;500;150;EA ;12/08/2015
878;1546;45;8,22;8,22;24/07/2014;100;500;150;EA ;12/08/2015
879;1546;45;49;59,46;24/07/2014;100;500;400;EA ;12/08/2015
880;1546;45;19;20,56;24/07/2014;500;1500;1000;EA ;12/08/2015
881;1636;30;40;41,57;24/07/2014;5000;10000;6000;EA ;12/08/2015
882;1636;30;40;41,57;24/07/2014;5000;10000;6000;EA ;12/08/2015
883;1636;30;40;41,57;24/07/2014;5000;10000;6000;EA ;12/08/2015
884;1636;30;40;41,57;24/07/2014;5000;10000;6000;EA ;12/08/2015
907;1576;19;78,89;82,8345;29/08/2011;100;1000;;EA ;29/08/2011
908;1570;15;20,09;21,0945;27/08/2011;100;1000;;EA ;27/08/2011
908;1696;17;20,09;21,0945;13/08/2011;100;1000;;EA ;13/08/2011
909;1570;15;28,99;30,4395;27/08/2011;100;1000;300;EA ;27/08/2011
909;1696;17;28,99;30,4395;13/08/2011;100;1000;;EA ;13/08/2011
910;1610;18;38,99;40,9395;27/08/2011;100;1000;300;EA ;27/08/2011
910;1696;17;38,99;40,9395;20/08/2011;100;1000;;EA ;20/08/2011
911;1542;18;20,09;21,0945;27/08/2011;100;1000;;EA ;27/08/2011
911;1696;17;20,09;21,0945;20/08/2011;100;1000;;EA ;20/08/2011
912;1542;18;28,99;30,4395;27/08/2011;100;1000;;EA ;27/08/2011
912;1696;17;28,99;30,4395;20/08/2011;100;1000;;EA ;20/08/2011
913;1570;15;38,99;40,9395;27/08/2011;100;1000;300;EA ;27/08/2011
913;1696;17;38,99;40,9395;25/08/2011;100;1000;;EA ;25/08/2011
914;1672;15;20,09;21,0945;26/08/2011;100;1000;;EA ;26/08/2011
914;1696;17;20,09;21,0945;25/08/2011;100;1000;;EA ;25/08/2011
915;1672;15;28,99;30,4395;26/08/2011;100;1000;300;EA ;26/08/2011
915;1696;17;28,99;30,4395;06/08/2011;100;1000;;EA ;06/08/2011
916;1672;15;38,99;40,9395;26/08/2011;100;1000;;EA ;26/08/2011
916;1696;17;38,99;40,9395;06/08/2011;100;1000;;EA ;06/08/2011
921;1498;19;5,32;5,586;29/08/2011;100;1000;;EA ;29/08/2011
922;1652;19;6,22;6,531;29/08/2011;100;1000;;EA ;29/08/2011
923;1652;19;5,89;6,1845;29/08/2011;100;1000;;EA ;29/08/2011
928;1538;19;30,71;32,2455;29/08/2011;100;1000;;EA ;29/08/2011
928;1632;19;31,21;32,7705;28/08/2011;100;1000;;EA ;28/08/2011
929;1538;19;34,82;36,561;29/08/2011;100;1000;;EA ;29/08/2011
929;1632;19;35,32;37,086;28/08/2011;100;1000;;EA ;28/08/2011
930;1498;19;40,49;42,5145;29/08/2011;100;1000;;EA ;29/08/2011
930;1632;19;40,99;43,0395;28/08/2011;100;1000;;EA ;28/08/2011
931;1588;19;32,71;34,3455;28/08/2011;100;1000;;EA ;28/08/2011
931;1684;19;33,21;34,8705;28/08/2011;100;1000;;EA ;28/08/2011
932;1588;19;37,37;39,2385;28/08/2011;100;1000;;EA ;28/08/2011
932;1684;19;37,87;39,7635;28/08/2011;100;1000;;EA ;28/08/2011
933;1652;19;41,39;43,4595;29/08/2011;100;1000;;EA ;29/08/2011
933;1684;19;41,89;43,9845;28/08/2011;100;1000;;EA ;28/08/2011
934;1652;19;35,83;37,6215;29/08/2011;100;1000;;EA ;29/08/2011
934;1684;19;36,33;38,1465;28/08/2011;100;1000;;EA ;28/08/2011
935;1506;18;29,99;31,4895;27/08/2011;100;1000;300;EA ;27/08/2011
935;1658;15;29,99;31,4895;26/08/2011;100;1000;;EA ;26/08/2011
936;1506;18;45,99;48,2895;27/08/2011;100;1000;300;EA ;27/08/2011
936;1658;15;45,99;48,2895;26/08/2011;100;1000;;EA ;26/08/2011
937;1638;18;59,99;62,9895;27/08/2011;100;1000;300;EA ;27/08/2011
938;1586;16;29,99;31,4895;28/08/2011;100;1000;300;EA ;28/08/2011
938;1680;16;29,99;31,4895;27/08/2011;100;1000;;EA ;27/08/2011
939;1586;16;45,99;48,2895;28/08/2011;100;1000;300;EA ;28/08/2011
939;1680;16;45,99;48,2895;27/08/2011;100;1000;;EA ;27/08/2011
940;1508;15;59,99;62,9895;26/08/2011;100;1000;;EA ;26/08/2011
941;1628;17;59,99;62,9895;25/08/2011;100;1000;;EA ;25/08/2011
948;1576;19;78,89;82,8345;29/08/2011;100;1000;;EA ;29/08/2011
952;1674;19;14,99;15,7395;29/08/2011;20;100;60;DZ ;29/08/2011
